,Facility Size (sq Ft),"Revenue (US Dollars, million)","Net Income (US Dollars, million)",Total Employees,"Total Assets (US Dollars, million)",Owns Rents_Owns,Importer,Exporter,Manufacturing,Women Owned,Minority Owned,RevPerEm,RevPerSq,SqPerEm,LogRpE,LogRpF,LogFpE
0,10000,1.4,0,15,0,1,0,0,1,0,0,0.093333333,0.00014,666.6666667,0.121356707,0.036532009,3.321928095
1,11000,1.4,0,12,0,0,0,0,1,0,0,0.116666667,0.000127273,916.6666667,0.13118085,0.036157841,3.628005568
2,11500,1.4,0,17,0,0,1,0,1,1,0,0.082352941,0.000121739,676.4705882,0.116411405,0.035985942,3.234913394
3,11178,1.334543,0,,0,0,0,0,1,0,0,,0.00011939,,,0.030958819,
4,8335,1.5,0,20,0,1,0,0,1,0,0,0.075,0.000179964,416.75,0.133178558,0.044910864,2.965397359
5,10825,1.5,0,15,0,0,1,0,1,0,0,0.1,0.000138568,721.6666667,0.146240625,0.043647145,3.350519851
6,6000,1.5,0,5,0,0,0,0,1,0,0,0.3,0.00025,1200,0.226294386,0.046607784,4.855291627
7,6925,1.4,0,14,0,1,0,0,1,0,0,0.1,0.000202166,494.6428571,0.124248892,0.038050016,3.265409676
8,8000,1.4,0,11,0,0,1,0,1,0,0,0.127272727,0.000175,727.2727273,0.135406389,0.037439064,3.616714061
9,5000,1.313114,0,5,0,1,0,0,1,0,0,0.2626228,0.000262623,1000,0.152030125,0.031982533,4.753536029
10,16000,1.3,0,12,0,1,0,0,1,1,0,0.108333333,8.13E-05,1333.333333,0.102288282,0.027102783,3.77408777
11,6178,1.533313,0,10,0,0,1,1,1,0,0,0.1533313,0.000248189,617.8,0.178252469,0.048968152,3.640171434
12,6556,1.5,0,12,0,0,1,0,1,0,0,0.125,0.000228798,546.3333333,0.158079187,0.046137783,3.426241502
13,1500,0.98,0,15,0,0,0,0,1,0,0,0.065333333,0.000653333,100,-0.007286586,-0.002762491,2.637686696
14,11700,0.97,0,10,0,1,0,0,1,0,0,0.097,8.29E-05,1170,-0.012702476,-0.003251638,3.90648592
15,8141,6,0,35,0,0,0,0,1,0,0,0.171428571,0.00073701,232.6,0.5,0.198981174,2.512800534
16,7722,100.528057,0,645,0,0,1,0,1,0,0,0.155857453,0.013018396,11.97209302,0.712498797,0.515027379,1.383419262
17,15687,98.374574,0,300,0,0,1,0,1,0,0,0.327915247,0.006271089,52.29,0.80404656,0.475000337,1.692728399
18,7567,97.961873,0,295,0,0,1,1,1,0,0,0.332074146,0.012945933,25.65084746,0.805674648,0.513301425,1.569593633
19,275000,79.968559,0,250,0,0,1,0,0,1,0,0.319874236,0.000290795,1100,0.792990836,0.349844251,2.266696778
20,80000,183.927626,0,755,0,1,0,0,1,0,0,0.24361275,0.002299095,105.9602649,0.786739558,0.461881583,1.703336065
21,55000,111.542098,0,550,0,1,0,1,1,0,1,0.202803815,0.002028038,100,0.746926514,0.431916067,1.729332552
22,375000,110.707986,0,310,0,1,1,1,1,0,0,0.357122535,0.000295221,1209.677419,0.820046307,0.366732595,2.23608787
23,194000,74.240257,0,630,0,1,0,0,1,0,0,0.117841678,0.000382682,307.9365079,0.668078519,0.353765054,1.888480816
24,650000,565.674163,0,400,0,0,1,0,1,0,0,1.414185408,0.000870268,1625,1.05740057,0.473526126,2.233035331
25,9986,449.748126,0,4010,0,0,1,0,1,0,0,0.11215664,0.045037866,2.490274314,0.736270701,0.663343241,1.109939251
26,34000,5.651522,0,48,0,1,0,0,1,0,0,0.117740042,0.000166221,708.3333333,0.445016665,0.165986742,2.681037408
27,18000,5.627715,0,27,0,0,0,0,1,0,0,0.208433889,0.000312651,666.6666667,0.518486633,0.176329975,2.94043388
28,15000,5.626992,0,26,0,1,1,1,1,0,0,0.216422769,0.000375133,576.9230769,0.52416885,0.179659938,2.917561115
29,26000,8.94683,0,50,0,1,0,0,1,0,0,0.1789366,0.000344109,520,0.557323616,0.215554911,2.585529667
30,3300000,3593.1,478.7,11500,4486.9,1,1,0,1,0,0,0.312443478,0.001088818,286.9565217,0.875572717,0.545441697,1.60525446
31,194000,1461.221299,0,5000,0,1,1,1,0,0,0,0.29224426,0.007532069,38.8,0.855546729,0.598493695,1.429499988
32,32680,14.599007,0,65,0,1,0,0,1,0,0,0.224600108,0.000446726,502.7692308,0.639898435,0.257919932,2.480996452
33,15619,16.703722,0,65,0,1,0,0,1,0,0,0.256980338,0.001069449,240.2923077,0.672043818,0.29158664,2.304782612
34,90000,29.880504,0,65,0,1,1,1,1,0,0,0.459700062,0.000332006,1384.615385,0.810855891,0.297802927,2.72279356
35,175000,28.427576,0,250,0,0,1,0,1,0,0,0.113710304,0.000162443,700,0.605807288,0.277270509,2.184896222
36,75000,31.658716,0,120,0,1,1,0,1,0,0,0.263822633,0.000422116,625,0.720426271,0.307789629,2.340645048
37,16500,31.215601,0,120,0,0,0,0,1,0,0,0.260130008,0.001891855,137.5,0.717487132,0.354327775,2.024924894
38,20000,44.670671,0,65,0,0,1,0,1,0,0,0.687241092,0.002233534,307.6923077,0.906832995,0.383634264,2.363795626
39,180000,41.792692,0,97,0,1,0,0,1,0,0,0.430852495,0.000232182,1855.670103,0.814121694,0.308471225,2.639214386
40,41000,41.553094,0,160,0,1,1,1,1,0,0,0.259706838,0.00101349,256.25,0.733453139,0.350895125,2.090234625
41,5786,39.864343,0,255,0,0,0,0,1,0,0,0.156330757,0.006889793,22.69019608,0.664628373,0.425418294,1.562293826
42,23103,38.669665,0,200,0,0,1,1,1,0,0,0.193348325,0.001673794,115.515,0.689203338,0.363769717,1.894614383
43,95000,18.673341,0,65,0,0,0,1,1,0,0,0.287282169,0.000196561,1461.538462,0.698648713,0.255382205,2.735698495
44,150000,18.660716,0,110,0,0,1,1,1,0,0,0.169642873,0.000124405,1363.636364,0.621382694,0.245538233,2.530696283
45,56000,13.906637,0,45,0,0,0,0,1,0,0,0.309036378,0.000248333,1244.444444,0.687545773,0.240770187,2.855610081
46,10001,9.440006,0,30,0,1,1,1,1,0,0,0.314666867,0.000943906,333.3666667,0.653746354,0.243740421,2.682141726
47,20000,65.561971,0,806,0,1,0,0,1,0,0,0.081342396,0.003278099,24.81389578,0.624950477,0.422376036,1.479606851
48,15144,64.398713,0,200,0,0,1,0,1,0,0,0.321993565,0.004252424,75.72,0.785376991,0.432720831,1.814973844
49,42000,62.935173,0,125,0,1,0,0,1,0,0,0.503481384,0.001498457,336,0.856464796,0.389097217,2.201158887
50,15234,61.118458,0,180,0,0,1,1,1,0,0,0.339546989,0.004011977,84.63333333,0.791154422,0.427026497,1.852705694
51,80000,56.554501,0,280,0,0,0,0,1,0,0,0.201980361,0.000706931,285.7142857,0.715670622,0.357420969,2.002318509
52,30000,21.629361,0,80,0,1,0,0,1,0,0,0.270367013,0.000720979,375,0.69953061,0.298192435,2.345903274
53,130000,21.398274,0,90,0,1,1,0,1,0,1,0.2377586,0.000164602,1444.444444,0.679096802,0.260147337,2.610431496
54,85000,20.719407,0,80,0,1,1,1,1,0,0,0.258992588,0.000243758,1062.5,0.689749885,0.267045131,2.582896317
55,18000,20,0,80,0,1,1,1,1,0,0,0.25,0.001111111,225,0.681708257,0.3057454,2.229659894
56,77000,19.44,0,10,0,1,1,0,1,0,0,1.944,0.000252468,7700,1.237473893,0.263726329,4.692265266
57,14100,6.075372,0,26,0,1,1,1,0,0,0,0.233668154,0.000430877,542.3076923,0.547430985,0.188848276,2.898787308
58,16000,10.793105,0,49,0,1,0,0,0,0,0,0.220267449,0.000674569,326.5306122,0.608101614,0.245746174,2.474511011
59,20000,10.688057,0,75,0,0,0,0,1,0,0,0.142507427,0.000534403,266.6666667,0.547049833,0.23922148,2.286792276
60,530000,10.680502,0,45,0,1,0,0,1,0,0,0.237344489,2.02E-05,11777.77778,0.618605816,0.179689395,3.442639548
61,15000,10.450695,0,30,0,0,0,0,1,1,0,0.3483565,0.000696713,500,0.683365529,0.244042841,2.800186753
62,15000,10.450695,0,40,0,0,0,0,1,1,0,0.261267375,0.000696713,375,0.631916775,0.244042841,2.589368217
63,30000,10.320872,0,50,0,1,0,0,1,0,1,0.20641744,0.000344029,600,0.593660165,0.226421474,2.621925188
64,78000,6.056756,0,47,0,0,0,1,1,0,0,0.128867149,7.77E-05,1659.574468,0.465275334,0.159898804,2.909811212
65,20000,5.593102,0,20,0,0,0,0,1,0,0,0.2796551,0.000279655,1000,0.565452904,0.173831092,3.252887031
66,25000,5.591228,0,31,0,1,1,0,1,0,0,0.180362194,0.000223649,806.4516129,0.496633035,0.169967576,2.921928095
67,70000,5.25429,0,30,0,1,0,1,1,0,0,0.175143,7.51E-05,2333.333333,0.483124947,0.148709899,3.248774633
68,60000,22.637713,0,27,0,1,1,1,0,0,0,0.838433815,0.000377295,2222.222222,0.936202212,0.283547439,3.301748079
69,65000,22.460265,0,50,0,1,1,0,1,0,0,0.4492053,0.000345543,1300,0.791425673,0.280789363,2.818574267
70,38000,11.373771,0,44,0,1,1,0,1,1,0,0.258494795,0.00029931,863.6363636,0.638698577,0.230557723,2.77023284
71,37000,6.633646,0,15,0,1,0,0,1,0,0,0.442243067,0.000179288,2466.666667,0.682450506,0.17988529,3.793809413
72,14000,2.2,0,20,0,0,0,0,1,0,0,0.11,0.000157143,700,0.25897571,0.082588545,3.135734029
73,,2.157592,-1.332793,1,0.663451,0,0,0,1,0,0,2.157592,,,1.109422077,,
74,6772,2.127987,0,14,0,0,0,0,1,0,0,0.151999071,0.000314233,483.7142857,0.278863539,0.085615558,3.257159612
75,30000,3.048114,0,12,0,0,0,0,1,1,0,0.2540095,0.000101604,2500,0.434520485,0.10811215,4.019164211
76,35000,3,0,20,0,1,0,0,1,0,0,0.15,8.57E-05,1750,0.360848807,0.104998704,3.436697727
77,37000,13.384225,0,50,0,0,1,0,1,0,0,0.2676845,0.000361736,740,0.659763941,0.246616349,2.675264413
78,108000,12.54148,0,30,0,1,1,0,1,0,0,0.418049333,0.000116125,3600,0.736473784,0.218211071,3.375052327
79,45000,12.523311,0,40,0,1,0,0,1,0,0,0.313082775,0.000278296,1125,0.680636256,0.235905659,2.885205289
80,7844,7.626264,0,48,0,0,0,1,1,1,0,0.1588805,0.000972242,163.4166667,0.522017443,0.226551116,2.304192769
