,Facility Size (sq Ft),"Revenue (US Dollars, million)","Net Income (US Dollars, million)",Total Employees,"Total Assets (US Dollars, million)",Owns Rents_Owns,Importer,Exporter,Manufacturing,Women Owned,Minority Owned,RevPerEm,RevPerSq,SqPerEm
0,10000,1.4,0,15,0,1,0,0,1,0,0,0.093333333,0.00014,666.6666667
1,11000,1.4,0,12,0,0,0,0,1,0,0,0.116666667,0.000127273,916.6666667
2,11500,1.4,0,17,0,0,1,0,1,1,0,0.082352941,0.000121739,676.4705882
3,11178,1.334543,0,,0,0,0,0,1,0,0,,0.00011939,
4,8335,1.5,0,20,0,1,0,0,1,0,0,0.075,0.000179964,416.75
5,10825,1.5,0,15,0,0,1,0,1,0,0,0.1,0.000138568,721.6666667
6,6000,1.5,0,5,0,0,0,0,1,0,0,0.3,0.00025,1200
7,6925,1.4,0,14,0,1,0,0,1,0,0,0.1,0.000202166,494.6428571
8,8000,1.4,0,11,0,0,1,0,1,0,0,0.127272727,0.000175,727.2727273
9,5000,1.313114,0,5,0,1,0,0,1,0,0,0.2626228,0.000262623,1000
10,16000,1.3,0,12,0,1,0,0,1,1,0,0.108333333,8.13E-05,1333.333333
11,6178,1.533313,0,10,0,0,1,1,1,0,0,0.1533313,0.000248189,617.8
12,6556,1.5,0,12,0,0,1,0,1,0,0,0.125,0.000228798,546.3333333
13,1500,0.98,0,15,0,0,0,0,1,0,0,0.065333333,0.000653333,100
14,11700,0.97,0,10,0,1,0,0,1,0,0,0.097,8.29E-05,1170
15,8141,6,0,35,0,0,0,0,1,0,0,0.171428571,0.00073701,232.6
16,7722,100.528057,0,645,0,0,1,0,1,0,0,0.155857453,0.013018396,11.97209302
17,15687,98.374574,0,300,0,0,1,0,1,0,0,0.327915247,0.006271089,52.29
18,7567,97.961873,0,295,0,0,1,1,1,0,0,0.332074146,0.012945933,25.65084746
19,275000,79.968559,0,250,0,0,1,0,0,1,0,0.319874236,0.000290795,1100
20,80000,183.927626,0,755,0,1,0,0,1,0,0,0.24361275,0.002299095,105.9602649
21,55000,111.542098,0,550,0,1,0,1,1,0,1,0.202803815,0.002028038,100
22,375000,110.707986,0,310,0,1,1,1,1,0,0,0.357122535,0.000295221,1209.677419
23,194000,74.240257,0,630,0,1,0,0,1,0,0,0.117841678,0.000382682,307.9365079
24,650000,565.674163,0,400,0,0,1,0,1,0,0,1.414185408,0.000870268,1625
25,9986,449.748126,0,4010,0,0,1,0,1,0,0,0.11215664,0.045037866,2.490274314
26,34000,5.651522,0,48,0,1,0,0,1,0,0,0.117740042,0.000166221,708.3333333
27,18000,5.627715,0,27,0,0,0,0,1,0,0,0.208433889,0.000312651,666.6666667
28,15000,5.626992,0,26,0,1,1,1,1,0,0,0.216422769,0.000375133,576.9230769
29,26000,8.94683,0,50,0,1,0,0,1,0,0,0.1789366,0.000344109,520
30,3300000,3593.1,478.7,11500,4486.9,1,1,0,1,0,0,0.312443478,0.001088818,286.9565217
31,194000,1461.221299,0,5000,0,1,1,1,0,0,0,0.29224426,0.007532069,38.8
32,32680,14.599007,0,65,0,1,0,0,1,0,0,0.224600108,0.000446726,502.7692308
33,15619,16.703722,0,65,0,1,0,0,1,0,0,0.256980338,0.001069449,240.2923077
34,90000,29.880504,0,65,0,1,1,1,1,0,0,0.459700062,0.000332006,1384.615385
35,175000,28.427576,0,250,0,0,1,0,1,0,0,0.113710304,0.000162443,700
36,75000,31.658716,0,120,0,1,1,0,1,0,0,0.263822633,0.000422116,625
37,16500,31.215601,0,120,0,0,0,0,1,0,0,0.260130008,0.001891855,137.5
38,20000,44.670671,0,65,0,0,1,0,1,0,0,0.687241092,0.002233534,307.6923077
39,180000,41.792692,0,97,0,1,0,0,1,0,0,0.430852495,0.000232182,1855.670103
40,41000,41.553094,0,160,0,1,1,1,1,0,0,0.259706838,0.00101349,256.25
41,5786,39.864343,0,255,0,0,0,0,1,0,0,0.156330757,0.006889793,22.69019608
42,23103,38.669665,0,200,0,0,1,1,1,0,0,0.193348325,0.001673794,115.515
43,95000,18.673341,0,65,0,0,0,1,1,0,0,0.287282169,0.000196561,1461.538462
44,150000,18.660716,0,110,0,0,1,1,1,0,0,0.169642873,0.000124405,1363.636364
45,56000,13.906637,0,45,0,0,0,0,1,0,0,0.309036378,0.000248333,1244.444444
46,10001,9.440006,0,30,0,1,1,1,1,0,0,0.314666867,0.000943906,333.3666667
47,20000,65.561971,0,806,0,1,0,0,1,0,0,0.081342396,0.003278099,24.81389578
48,15144,64.398713,0,200,0,0,1,0,1,0,0,0.321993565,0.004252424,75.72
49,42000,62.935173,0,125,0,1,0,0,1,0,0,0.503481384,0.001498457,336
50,15234,61.118458,0,180,0,0,1,1,1,0,0,0.339546989,0.004011977,84.63333333
51,80000,56.554501,0,280,0,0,0,0,1,0,0,0.201980361,0.000706931,285.7142857
52,30000,21.629361,0,80,0,1,0,0,1,0,0,0.270367013,0.000720979,375
53,130000,21.398274,0,90,0,1,1,0,1,0,1,0.2377586,0.000164602,1444.444444
54,85000,20.719407,0,80,0,1,1,1,1,0,0,0.258992588,0.000243758,1062.5
55,18000,20,0,80,0,1,1,1,1,0,0,0.25,0.001111111,225
56,77000,19.44,0,10,0,1,1,0,1,0,0,1.944,0.000252468,7700
57,14100,6.075372,0,26,0,1,1,1,0,0,0,0.233668154,0.000430877,542.3076923
58,16000,10.793105,0,49,0,1,0,0,0,0,0,0.220267449,0.000674569,326.5306122
59,20000,10.688057,0,75,0,0,0,0,1,0,0,0.142507427,0.000534403,266.6666667
60,530000,10.680502,0,45,0,1,0,0,1,0,0,0.237344489,2.02E-05,11777.77778
61,15000,10.450695,0,30,0,0,0,0,1,1,0,0.3483565,0.000696713,500
62,15000,10.450695,0,40,0,0,0,0,1,1,0,0.261267375,0.000696713,375
63,30000,10.320872,0,50,0,1,0,0,1,0,1,0.20641744,0.000344029,600
64,78000,6.056756,0,47,0,0,0,1,1,0,0,0.128867149,7.77E-05,1659.574468
65,20000,5.593102,0,20,0,0,0,0,1,0,0,0.2796551,0.000279655,1000
66,25000,5.591228,0,31,0,1,1,0,1,0,0,0.180362194,0.000223649,806.4516129
67,70000,5.25429,0,30,0,1,0,1,1,0,0,0.175143,7.51E-05,2333.333333
68,60000,22.637713,0,27,0,1,1,1,0,0,0,0.838433815,0.000377295,2222.222222
69,65000,22.460265,0,50,0,1,1,0,1,0,0,0.4492053,0.000345543,1300
70,38000,11.373771,0,44,0,1,1,0,1,1,0,0.258494795,0.00029931,863.6363636
71,37000,6.633646,0,15,0,1,0,0,1,0,0,0.442243067,0.000179288,2466.666667
72,14000,2.2,0,20,0,0,0,0,1,0,0,0.11,0.000157143,700
73,,2.157592,-1.332793,1,0.663451,0,0,0,1,0,0,2.157592,,
74,6772,2.127987,0,14,0,0,0,0,1,0,0,0.151999071,0.000314233,483.7142857
75,30000,3.048114,0,12,0,0,0,0,1,1,0,0.2540095,0.000101604,2500
76,35000,3,0,20,0,1,0,0,1,0,0,0.15,8.57E-05,1750
77,37000,13.384225,0,50,0,0,1,0,1,0,0,0.2676845,0.000361736,740
78,108000,12.54148,0,30,0,1,1,0,1,0,0,0.418049333,0.000116125,3600
79,45000,12.523311,0,40,0,1,0,0,1,0,0,0.313082775,0.000278296,1125
80,7844,7.626264,0,48,0,0,0,1,1,1,0,0.1588805,0.000972242,163.4166667
81,25000,7.622964,0,35,0,0,1,1,1,0,0,0.217798971,0.000304919,714.2857143
82,27000,7.501636,0,40,0,0,1,0,1,0,0,0.1875409,0.000277838,675
83,30000,7.194826,0,34,0,1,0,0,1,0,0,0.211612529,0.000239828,882.3529412
84,40000,7.17258,0,50,0,1,0,0,1,0,0,0.1434516,0.000179315,800
85,24000,7.16134,0,30,0,1,0,0,1,0,0,0.238711333,0.000298389,800
86,6242,7.140847,0,,0,0,0,0,1,0,1,,0.001144,
87,3000,3,0,4,0,1,0,0,0,0,0,0.75,0.001,750
88,6952,2.927176,0,14,0,0,1,1,1,0,0,0.209084,0.000421055,496.5714286
89,4646,1,0,5,0,0,0,0,1,0,0,0.2,0.000215239,929.2
90,2400,4.236052,0,24,0,0,0,0,1,0,0,0.176502167,0.001765022,100
91,14000,4.218028,0,20,0,1,0,0,1,0,0,0.2109014,0.000301288,700
92,20000,4.133484,0,30,0,0,1,0,1,0,0,0.1377828,0.000206674,666.6666667
93,13500,4.43762,0,25,0,1,0,0,1,1,0,0.1775048,0.000328713,540
94,11602,4.415327,0,18,0,0,0,1,1,0,0,0.245295944,0.000380566,644.5555556
95,42000,8.281885,0,30,0,1,0,0,1,0,0,0.276062833,0.000197188,1400
96,40000,8.207103,0,38,0,0,1,0,1,0,0,0.215976395,0.000205178,1052.631579
97,12000,8.04663,0,30,0,0,0,0,1,0,0,0.268221,0.000670553,400
98,12000,8,0,25,0,0,0,0,0,0,0,0.32,0.000666667,480
99,3566,8,0,4,0,0,0,0,1,0,0,2,0.00224341,891.5
100,40000,7.695707,0,46,0,0,1,1,1,0,0,0.167297978,0.000192393,869.5652174
101,6178,1.610618,0,10,0,0,0,0,1,0,0,0.1610618,0.000260702,617.8
102,9051,4.758538,0,30,0,0,0,0,1,0,0,0.158617933,0.000525747,301.7
103,16000,4.654197,0,25,0,1,1,1,1,1,0,0.18616788,0.000290887,640
104,5000,3.3,0,22,0,0,0,0,1,1,0,0.15,0.00066,227.2727273
105,3000,3.2,0,20,0,0,0,0,0,0,0,0.16,0.001066667,150
106,4321,0.95,0,,0,0,0,0,1,1,0,,0.000219857,
107,6772,0.71,0,14,0,0,0,0,1,0,0,0.050714286,0.000104843,483.7142857
108,5000,0.71,0,10,0,0,0,0,1,0,0,0.071,0.000142,500
109,16000,5.063395,0,20,0,1,0,0,1,0,0,0.25316975,0.000316462,800
110,65000,5.042121,0,22,0,1,0,0,1,0,0,0.229187318,7.76E-05,2954.545455
111,7114,3.490002,0,10,0,0,1,0,1,0,0,0.3490002,0.000490582,711.4
112,5000,3.453798,0,12,0,0,0,0,1,0,0,0.2878165,0.00069076,416.6666667
113,7874,3.338311,0,20,0,0,0,0,1,0,0,0.16691555,0.000423966,393.7
114,20000,1.8,0,12,0,0,1,0,1,0,0,0.15,9.00E-05,1666.666667
115,9000,1.75,0,10,0,0,0,0,1,0,0,0.175,0.000194444,900
116,13000,1.7,0,17,0,0,0,0,1,0,0,0.1,0.000130769,764.7058824
117,25000,1.1,0,10,0,1,0,0,1,0,0,0.11,4.40E-05,2500
118,3768,1.081345,0,8,0,0,0,0,1,1,0,0.135168125,0.000286981,471
119,3380,1.020198,0,6,0,0,0,0,1,0,0,0.170033,0.000301834,563.3333333
120,6875,1.00998,0,14,0,0,0,0,1,1,0,0.072141429,0.000146906,491.0714286
121,5473,0.75898,0,8,0,0,0,0,1,0,0,0.0948725,0.000138677,684.125
122,20000,3.658538,0,15,0,0,0,0,1,0,0,0.243902533,0.000182927,1333.333333
123,35000,3.61477,0,15,0,0,0,0,1,0,0,0.240984667,0.000103279,2333.333333
124,2832,2,0,15,0,0,1,0,1,0,0,0.133333333,0.000706215,188.8
125,29000,1.951582,0,17,0,0,0,0,1,0,0,0.114798941,6.73E-05,1705.882353
126,23000,1.9,0,23,0,1,0,0,1,0,0,0.082608696,8.26E-05,1000
127,1600,0.52,0,5,0,0,0,0,1,0,0,0.104,0.000325,320
128,4316,0.508737,0,4,0,0,0,0,1,0,0,0.12718425,0.000117872,1079
129,4577,0.505153,0,5,0,0,0,0,1,0,0,0.1010306,0.000110368,915.4
130,4577,0.502739,0,5,0,0,0,0,1,0,0,0.1005478,0.00010984,915.4
131,22000,1.1,0,15,0,1,0,0,1,0,0,0.073333333,5.00E-05,1466.666667
132,12000,1.1,0,14,0,1,0,0,1,0,0,0.078571429,9.17E-05,857.1428571
133,5000,1.1,0,12,0,0,0,0,1,0,0,0.091666667,0.00022,416.6666667
134,6584,1.1,0,10,0,1,0,0,1,1,0,0.11,0.000167072,658.4
135,8400,0.548535,0,10,0,1,0,0,1,0,0,0.0548535,6.53E-05,840
136,2225,0.54,0,5,0,0,0,0,0,1,0,0.108,0.000242697,445
137,6400,0.53,0,5,0,1,0,0,1,0,0,0.106,8.28E-05,1280
138,4316,0.528812,0,4,0,0,1,0,1,0,0,0.132203,0.000122524,1079
139,4577,0.525189,0,5,0,0,0,0,1,0,0,0.1050378,0.000114745,915.4
140,4000,0.79,0,10,0,0,0,0,0,0,0,0.079,0.0001975,400
141,4855,0.79,0,9,0,0,0,0,1,0,0,0.087777778,0.000162719,539.4444444
142,3500,0.78,0,10,0,0,0,0,1,0,0,0.078,0.000222857,350
143,3461,0.5,0,7,0,0,0,0,1,0,0,0.071428571,0.000144467,494.4285714
144,3000,0.5,0,3,0,1,0,0,1,0,0,0.166666667,0.000166667,1000
145,5000,0.5,0,3,0,0,0,0,1,0,0,0.166666667,0.0001,1666.666667
146,5500,0.5,0,4,0,1,0,0,1,0,0,0.125,9.09E-05,1375
147,7568,0.5,0,3,0,0,0,0,1,0,0,0.166666667,6.61E-05,2522.666667
148,90000,2.1,0,20,0,0,1,0,1,0,0,0.105,2.33E-05,4500
149,2000,2,0,15,0,0,1,1,1,0,0,0.133333333,0.001,133.3333333
150,17000,2,0,23,0,1,0,0,1,0,0,0.086956522,0.000117647,739.1304348
151,10000,0.56,0,7,0,1,0,0,1,0,0,0.08,5.60E-05,1428.571429
152,1100,1.171044,0,6,0,0,0,0,1,1,0,0.195174,0.001064585,183.3333333
153,3600,0.4,0,9,0,0,0,0,1,0,0,0.044444444,0.000111111,400
154,4500,0.43,0,5,0,1,0,0,1,0,0,0.086,9.56E-05,900
155,4204,0.421079,0,4,0,0,0,0,1,0,0,0.10526975,0.000100162,1051
156,3768,0.42,0,3,0,0,0,0,1,0,0,0.14,0.000111465,1256
157,2169,0.6,0,9,0,0,0,0,0,1,0,0.066666667,0.000276625,241
158,2050,0.587898,0,5,0,0,0,0,0,0,0,0.1175796,0.00028678,410
159,4286,1.278086,0,11,0,0,0,0,0,0,0,0.116189636,0.0002982,389.6363636
160,5881,1.249444,0,8,0,1,0,0,1,0,0,0.1561805,0.000212454,735.125
161,3642,1.223314,0,8,0,0,0,0,1,0,0,0.15291425,0.000335891,455.25
162,5271,0.44,0,6,0,1,0,0,1,0,0,0.073333333,8.35E-05,878.5
163,3606,0.44,0,4,0,0,0,0,1,0,0,0.11,0.000122019,901.5
164,5619,0.85,0,8,0,0,0,0,1,0,0,0.10625,0.000151272,702.375
165,23818,0.84,0,,0,0,0,0,1,0,0,,3.53E-05,
166,4500,0.32,0,4,0,1,0,0,1,0,0,0.08,7.11E-05,1125
167,5000,0.31,0,3,0,1,0,0,1,1,0,0.103333333,6.20E-05,1666.666667
168,3300,0.6,0,5,0,0,0,1,1,0,0,0.12,0.000181818,660
169,3825,0.33,0,3,0,0,0,0,1,0,0,0.11,8.63E-05,1275
170,4186,0.322653,0,10,0,0,0,0,0,0,0,0.0322653,7.71E-05,418.6
171,5000,0.32,0,4,0,0,0,0,1,0,0,0.08,6.40E-05,1250
172,5842,0.452863,0,9,0,0,0,0,1,0,0,0.050318111,7.75E-05,649.1111111
173,4204,0.451699,0,4,0,0,0,0,1,0,0,0.11292475,0.000107445,1051
174,3868,0.3,0,3,0,0,0,0,1,0,0,0.1,7.76E-05,1289.333333
175,3538,0.3,0,6,0,0,0,0,0,1,1,0.05,8.48E-05,589.6666667
176,3688,0.34,0,6,0,0,1,1,1,0,1,0.056666667,9.22E-05,614.6666667
177,4316,0.34,0,4,0,0,0,0,1,0,0,0.085,7.88E-05,1079
178,4204,0.334542,0,4,0,0,0,0,1,0,0,0.0836355,7.96E-05,1051
179,10000,0.63,0,5,0,0,0,0,1,0,0,0.126,6.30E-05,2000
180,2000,0.47,0,5,0,1,0,1,1,0,0,0.094,0.000235,400
181,13988,0.46,0,5,0,0,0,0,1,0,0,0.092,3.29E-05,2797.6
182,3978,0.26,0,3,0,0,0,0,1,0,0,0.086666667,6.54E-05,1326
183,3128,0.26,0,5,0,0,0,0,0,0,0,0.052,8.31E-05,625.6
184,4626,0.35,0,10,0,1,0,0,1,0,0,0.035,7.57E-05,462.6
185,1500,0.35,0,3,0,1,0,0,1,0,0,0.116666667,0.000233333,500
186,4204,0.25,0,4,0,0,0,0,1,0,0,0.0625,5.95E-05,1051
187,2000,0.65,0,6,0,0,0,0,0,0,0,0.108333333,0.000325,333.3333333
188,9000,0.64,0,6,0,0,0,0,1,0,0,0.106666667,7.11E-05,1500
189,3229,0.26324,0,2,0,0,0,0,1,0,0,0.13162,8.15E-05,1614.5
190,,0.49,0,13,0,1,0,0,1,0,0,0.037692308,,
191,3196,0.21,0,3,0,0,0,0,1,0,0,0.07,6.57E-05,1065.333333
192,1650,0.21,0,1,0,0,0,0,1,0,0,0.21,0.000127273,1650
193,4321,0.368001,0,,0,0,0,0,1,0,0,,8.52E-05,
194,3966,0.363023,0,5,0,0,0,0,0,0,0,0.0726046,9.15E-05,793.2
195,7906,0.36,0,4,0,0,0,0,1,0,0,0.09,4.55E-05,1976.5
196,4204,0.22,0,4,0,0,0,0,1,0,0,0.055,5.23E-05,1051
197,3229,0.218612,0,2,0,0,0,0,1,0,0,0.109306,6.77E-05,1614.5
198,3514,0.28,0,6,0,0,0,0,1,0,0,0.046666667,7.97E-05,585.6666667
199,10000,0.275,0,5,0,1,0,0,1,0,0,0.055,2.75E-05,2000
200,4204,0.209094,0,4,0,0,0,0,1,0,0,0.0522735,4.97E-05,1051
201,2917,0.204058,0,4,0,0,0,0,0,0,0,0.0510145,7.00E-05,729.25
202,4321,0.201299,0,,0,0,0,0,1,0,0,,4.66E-05,
203,200,0.22,0,3,0,0,1,0,1,0,0,0.073333333,0.0011,66.66666667
204,5500,0.38,0,5,0,0,0,0,1,0,0,0.076,6.91E-05,1100
205,2875,0.37,0,2,0,0,1,1,0,0,0,0.185,0.000128696,1437.5
206,2547,0.18,0,1,0,0,1,0,1,0,0,0.18,7.07E-05,2547
207,3229,0.18,0,2,0,0,0,0,1,0,0,0.09,5.57E-05,1614.5
208,7500,0.18,0,4,0,0,0,0,1,0,0,0.045,2.40E-05,1875
209,4000,0.29,0,5,0,0,0,0,1,0,0,0.058,7.25E-05,800
210,3768,0.288331,0,3,0,0,0,0,1,0,0,0.096110333,7.65E-05,1256
211,2100,0.28,0,12,0,0,0,0,0,0,0,0.023333333,0.000133333,175
212,3768,0.185832,0,3,0,0,0,0,1,0,0,0.061944,4.93E-05,1256
213,3768,0.180667,0,3,0,0,0,0,1,0,0,0.060222333,4.79E-05,1256
214,3768,0.228529,0,3,0,0,0,0,1,0,0,0.076176333,6.06E-05,1256
215,2000,0.225,0,4,0,0,0,0,1,0,0,0.05625,0.0001125,500
216,1892,0.18,0,2,0,0,0,0,0,0,0,0.09,9.51E-05,946
217,2313,0.18,0,2,0,0,0,0,1,0,0,0.09,7.78E-05,1156.5
218,4204,0.388242,0,4,0,0,0,0,1,1,0,0.0970605,9.24E-05,1051
219,1500,0.19,0,5,0,0,0,0,1,0,0,0.038,0.000126667,300
220,40000,0.19,0,2,0,0,0,0,1,0,0,0.095,4.75E-06,20000
221,3768,0.189432,0,3,0,0,0,0,1,0,0,0.063144,5.03E-05,1256
222,11000,0.3,0,3,0,1,0,0,1,0,0,0.1,2.73E-05,3666.666667
223,4595,0.3,0,,0,0,0,0,0,0,0,,6.53E-05,
224,3768,0.290104,0,2,0,0,0,0,1,0,0,0.145052,7.70E-05,1884
225,3000,0.29,0,6,0,1,0,0,1,0,0,0.048333333,9.67E-05,500
226,2240,0.154985,0,2,0,0,0,0,0,0,0,0.0774925,6.92E-05,1120
227,2575,0.151094,0,3,0,0,0,0,0,0,0,0.050364667,5.87E-05,858.3333333
228,1500,0.23,0,6,0,0,0,0,1,0,0,0.038333333,0.000153333,250
229,4000,0.23,0,4,0,1,0,0,1,0,0,0.0575,5.75E-05,1000
230,10586,0.23,0,,0,0,0,0,0,0,0,,2.17E-05,
231,700,0.16,0,2,0,0,0,0,1,0,0,0.08,0.000228571,350
232,3229,0.15869,0,2,0,0,0,0,1,0,0,0.079345,4.91E-05,1614.5
233,3229,0.194417,0,2,0,0,0,0,1,0,0,0.0972085,6.02E-05,1614.5
234,3196,0.15,0,3,0,0,0,0,1,0,0,0.05,4.69E-05,1065.333333
235,2000,0.3,0,2,0,1,0,0,1,0,0,0.15,0.00015,1000
236,35000,0.3,0,5,0,1,0,1,1,1,1,0.06,8.57E-06,7000
237,7500,0.3,0,5,0,0,0,0,1,0,0,0.06,4.00E-05,1500
238,3278,0.16,0,2,0,0,0,0,1,0,0,0.08,4.88E-05,1639
239,3229,0.139551,0,2,0,0,0,0,1,0,0,0.0697755,4.32E-05,1614.5
240,3229,0.137053,0,2,0,0,0,0,1,0,0,0.0685265,4.24E-05,1614.5
241,3229,0.136305,0,2,0,0,0,0,1,0,0,0.0681525,4.22E-05,1614.5
242,3000,0.2,0,2,0,0,0,0,1,0,0,0.1,6.67E-05,1500
243,3768,0.14,0,3,0,0,0,0,1,0,0,0.046666667,3.72E-05,1256
244,1865,0.14,0,1,0,0,0,0,0,0,0,0.14,7.51E-05,1865
245,2470,0.161799,0,3,0,0,0,0,1,0,0,0.053933,6.55E-05,823.3333333
246,3229,0.161217,0,2,0,0,0,0,1,0,0,0.0806085,4.99E-05,1614.5
247,2207,0.130647,0,2,0,0,0,0,0,0,0,0.0653235,5.92E-05,1103.5
248,3315,0.13051,0,2,0,0,0,0,1,1,0,0.065255,3.94E-05,1657.5
249,2000,0.25,0,4,0,1,0,0,1,0,0,0.0625,0.000125,500
250,3768,0.24114,0,2,0,0,0,0,1,0,0,0.12057,6.40E-05,1884
251,2507,0.24,0,3,0,0,0,0,1,0,1,0.08,9.57E-05,835.6666667
252,1721,0.2,0,1,0,0,0,0,0,0,0,0.2,0.000116212,1721
253,1721,0.2,0,1,0,0,0,0,0,0,0,0.2,0.000116212,1721
254,2644,0.2,0,3,0,0,0,0,0,0,0,0.066666667,7.56E-05,881.3333333
255,2036,0.2,0,4,0,0,0,0,1,0,0,0.05,9.82E-05,509
256,3229,0.12,0,2,0,0,0,0,1,0,0,0.06,3.72E-05,1614.5
257,1200,0.12,0,2,0,1,0,0,1,0,0,0.06,1.00E-04,600
258,1581,0.12,0,1,0,1,0,0,0,0,0,0.12,7.59E-05,1581
259,3230,0.166552,0,3,0,0,0,0,1,1,0,0.055517333,5.16E-05,1076.666667
